date,MOVE
1/4/2010,106.4
1/5/2010,102.5
1/6/2010,106.9
1/7/2010,104.4
1/8/2010,96.3
1/11/2010,93
1/12/2010,92.7
1/13/2010,95.5
1/14/2010,91.1
1/15/2010,89.8
1/18/2010,89.8
1/19/2010,87.9
1/20/2010,88.3
1/21/2010,87.5
1/22/2010,88.3
1/25/2010,88.1
1/26/2010,88.8
1/27/2010,86.3
1/28/2010,87.9
1/29/2010,86.3
2/1/2010,85.3
2/2/2010,83.7
2/3/2010,90
2/4/2010,90.9
2/5/2010,89.1
2/8/2010,88
2/9/2010,88.1
2/10/2010,90.2
2/11/2010,89.2
2/12/2010,87
2/15/2010,87
2/16/2010,85.5
2/17/2010,85.9
2/18/2010,87.2
2/19/2010,84.9
2/22/2010,81.4
2/23/2010,83.9
2/24/2010,83.2
2/25/2010,82.2
2/26/2010,81.2
3/1/2010,79.4
3/2/2010,78.4
3/3/2010,78.9
3/4/2010,76.1
3/5/2010,78.9
3/8/2010,77.6
3/9/2010,76.3
3/10/2010,75.9
3/11/2010,75.6
3/12/2010,76.4
3/15/2010,77.3
3/16/2010,76.9
3/17/2010,74.1
3/18/2010,75.9
3/19/2010,79.4
3/22/2010,78.5
3/23/2010,78.6
3/24/2010,90.1
3/25/2010,89.5
3/26/2010,87.4
3/29/2010,87.1
3/30/2010,86.2
3/31/2010,85.3
4/1/2010,89.8
4/2/2010,90.1
4/5/2010,90.1
4/6/2010,88.6
4/7/2010,92.2
4/8/2010,90.3
4/9/2010,89.8
4/12/2010,88.2
4/13/2010,86.7
4/14/2010,85.3
4/15/2010,83.9
4/16/2010,82.9
4/19/2010,82.3
4/20/2010,78.3
4/21/2010,79.9
4/22/2010,80.1
4/23/2010,85.2
4/26/2010,83
4/27/2010,88.9
4/28/2010,87.2
4/29/2010,83.3
4/30/2010,85.5
5/3/2010,83.6
5/4/2010,88.7
5/5/2010,95.8
5/6/2010,116.7
5/7/2010,112.6
5/10/2010,104.4
5/11/2010,96.8
5/12/2010,93.2
5/13/2010,89.5
5/14/2010,99.8
5/17/2010,96.6
5/18/2010,97.2
5/19/2010,98.1
5/20/2010,110.9
5/21/2010,108.7
5/24/2010,107.1
5/25/2010,112.7
5/26/2010,109.9
5/27/2010,111.5
5/28/2010,112.1
5/31/2010,112.1
6/1/2010,110.3
6/2/2010,105.2
6/3/2010,104.3
6/4/2010,106.4
6/7/2010,106.1
6/8/2010,108.7
6/9/2010,106.6
6/10/2010,103.3
6/11/2010,105.9
6/14/2010,102.9
6/15/2010,99.6
6/16/2010,96
6/17/2010,95.2
6/18/2010,94.4
6/21/2010,87.8
6/22/2010,85.9
6/23/2010,85.2
6/24/2010,85.4
6/25/2010,84.7
6/28/2010,84.2
6/29/2010,89.8
6/30/2010,89.7
7/1/2010,93.8
7/2/2010,88.2
7/5/2010,88.2
7/6/2010,82.6
7/7/2010,86.3
7/8/2010,85.5
7/9/2010,85.1
7/12/2010,82.2
7/13/2010,80.3
7/14/2010,79
7/15/2010,78.1
7/16/2010,81.2
7/19/2010,79.4
7/20/2010,78.7
7/21/2010,78.4
7/22/2010,78.8
7/23/2010,78.9
7/26/2010,77.3
7/27/2010,77.1
7/28/2010,76.3
7/29/2010,75.9
7/30/2010,78.2
8/2/2010,77.6
8/3/2010,81.1
8/4/2010,85.9
8/5/2010,84
8/6/2010,80.4
8/9/2010,79.8
8/10/2010,76.6
8/11/2010,76.2
8/12/2010,81.4
8/13/2010,84.3
8/16/2010,92.8
8/17/2010,90.9
8/18/2010,87.5
8/19/2010,91
8/20/2010,93.2
8/23/2010,95.5
8/24/2010,97.6
8/25/2010,100.7
8/26/2010,104.4
8/27/2010,109.2
8/30/2010,109.7
8/31/2010,103.7
9/1/2010,110.1
9/2/2010,103.2
9/3/2010,95.3
9/6/2010,95.3
9/7/2010,98.2
9/8/2010,100.9
9/9/2010,104.9
9/10/2010,107.3
9/13/2010,105.5
